input_file,angle_deg,trial,stat,channel,sample_index,rssi
deg-0-1_stat-3_rssi.txt,0,1,3,a,48,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,48,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,49,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,49,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,50,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,50,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,51,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,51,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,52,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,52,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,53,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,53,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,54,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,54,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,55,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,55,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,56,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,56,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,57,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,57,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,58,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,58,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,59,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,59,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,60,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,60,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,61,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,61,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,62,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,62,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,63,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,63,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,64,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,64,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,65,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,65,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,66,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,66,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,67,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,67,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,68,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,68,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,69,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,69,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,70,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,70,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,71,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,71,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,72,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,72,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,73,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,73,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,74,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,74,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,75,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,75,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,76,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,76,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,77,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,77,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,78,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,78,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,79,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,79,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,80,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,80,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,81,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,81,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,82,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,82,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,83,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,83,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,84,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,84,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,85,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,85,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,86,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,86,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,87,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,87,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,88,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,88,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,89,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,89,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,90,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,90,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,91,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,91,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,92,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,92,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,93,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,93,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,94,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,94,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,95,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,95,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,96,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,96,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,97,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,97,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,98,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,98,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,99,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,99,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,100,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,100,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,101,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,101,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,102,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,102,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,103,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,103,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,104,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,104,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,105,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,105,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,106,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,106,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,107,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,107,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,108,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,108,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,109,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,109,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,110,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,110,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,111,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,111,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,112,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,112,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,113,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,113,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,114,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,114,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,115,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,115,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,116,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,116,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,117,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,117,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,118,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,118,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,119,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,119,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,120,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,120,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,121,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,121,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,122,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,122,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,123,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,123,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,124,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,124,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,125,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,125,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,126,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,126,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,127,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,127,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,128,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,128,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,129,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,129,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,130,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,130,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,131,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,131,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,132,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,132,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,133,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,133,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,134,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,134,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,135,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,135,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,136,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,136,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,137,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,137,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,138,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,138,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,139,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,139,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,140,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,140,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,141,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,141,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,142,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,142,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,143,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,143,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,144,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,144,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,145,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,145,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,146,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,146,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,147,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,147,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,148,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,148,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,149,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,149,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,150,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,150,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,151,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,151,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,152,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,152,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,153,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,153,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,154,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,154,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,155,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,155,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,156,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,156,68.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,157,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,157,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,158,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,158,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,159,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,159,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,160,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,160,68.0
