azimuth,elevation,response
0,-90,-6.0
0,-89,-6.223482884718437
0,-88,-6.3862803172152836
0,-87,-6.495303546124875
0,-86,-6.557463820081553
0,-85,-6.579672387719653
0,-84,-6.5688404976735155
0,-83,-6.531879398577475
0,-82,-6.475700339065876
0,-81,-6.407214567773047
0,-80,-6.333333333333333
0,-79,-6.25864963916566
0,-78,-6.178483507827307
0,-77,-6.085836716660136
0,-76,-5.973711043006021
0,-75,-5.835108264206825
0,-74,-5.663030157604417
0,-73,-5.450478500540663
0,-72,-5.190455070357432
0,-71,-4.875961644396588
0,-70,-4.5
0,-69,-4.074045679127432
0,-68,-3.6288302280983453
0,-67,-3.186239430794146
0,-66,-2.7681590710962456
0,-65,-2.396474932886051
0,-64,-2.0930728000449728
0,-63,-1.8798384564544193
0,-62,-1.7786576859958003
0,-61,-1.811416272550524
0,-60,-2.0
0,-59,-2.319997597804386
0,-58,-2.7152582974883246
0,-57,-3.16005863602995
0,-56,-3.6286751504074
0,-55,-4.095384377598809
0,-54,-4.534462854582314
0,-53,-4.92018711833605
0,-52,-5.226833705838153
0,-51,-5.428679154066758
0,-50,-5.5
0,-49,-5.422697587147741
0,-48,-5.209172485146727
0,-47,-4.879450070165427
0,-46,-4.453555718372318
0,-45,-3.951514805935867
0,-44,-3.3933527090245463
0,-43,-2.799094803806828
0,-42,-2.188766466451184
0,-41,-1.582393073126084
0,-40,-1.0
0,-39,-0.5053641913276763
0,-38,-0.13659269605107488
0,-37,0.12479395263050641
0,-36,0.29727522151776964
0,-35,0.3993305774114171
0,-34,0.4494394871121514
0,-33,0.46608141742067444
0,-32,0.46773583513768885
0,-31,0.47288220706389655
0,-30,0.5
0,-29,0.536321006132165
0,-28,0.5723941080779376
0,-27,0.6316744082850899
0,-26,0.7376170092013943
0,-25,0.9136770132746235
0,-24,1.1833095229525492
0,-23,1.5699696406829438
0,-22,2.097112468913581
0,-21,2.7881931100922306
0,-20,3.6666666666666665
0,-19,4.715353938092643
0,-18,5.868832591299303
0,-17,7.078193029944503
0,-16,8.2945256576861
0,-15,9.468920878181953
0,-14,10.552469095089915
0,-13,11.49626071206784
0,-12,12.251386132773598
0,-11,12.76893576086503
0,-10,13.0
0,-9,12.91287541838776
0,-8,12.544683245310392
0,-7,11.949750876035
0,-6,11.182405705828707
0,-5,10.29697512995861
0,-4,9.347786543691827
0,-3,8.389167342295465
0,-2,7.475444921036635
0,-1,6.660946675182442
0,0,6.0
0,1,5.617844289969239
0,2,5.55581184394712
0,3,5.742369413766299
0,4,6.105983751259433
0,5,6.575121608259175
0,6,7.078249736598184
0,7,7.5438348881091155
0,8,7.900343814624626
0,9,8.076243267977368
0,10,8.0
0,11,7.712514421757645
0,12,7.2996835266554205
0,13,6.757468940035971
0,14,6.081832287241949
0,15,5.268735193615998
0,16,4.314139284500768
0,17,3.2140061852389055
0,18,1.9642975211730591
0,19,0.5609749176458738
0,20,-1.0
