loc_tag,azimuth,elevation
TR4c_1,210,60
TR4c_2,0,90
TR6c_1,240,30
TR6c_2,300,30
TR8c_1,120,30
TR8c_2,180,30
TRc0_1,330,60
TRc0_2,90,60
TR60_1,0,30
TR60_2,60,30
